Winner,Visitor,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Home,OFG%,O3P%,O2P%,OFT%,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,9,0.433,0.349,0.465,0.738396624472574,10,31.7,19.9,8,4.3,14,19.6,97.8
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,2,0.487,0.367,0.531,0.759615384615385,11.6,31.9,23.6,8.4,5.5,15.2,21.4,106.5
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,4,0.437,0.342,0.476,0.740740740740741,11.4,31.4,22.3,8.6,4.8,17.4,20.1,97.4
0,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,22,0.456,0.355,0.491,0.772946859903382,10.7,33.4,23.8,7,4.8,14,19.3,99.5
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,12,0.466,0.363,0.507,0.744186046511628,10,34.1,24,7.5,4.8,13,19.4,105.3
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,15,0.463,0.368,0.499,0.751091703056769,10.1,33.4,23.4,7.7,5.4,14.5,17.9,101.4
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,5,0.456,0.358,0.494,0.732394366197183,11.4,32.9,23.7,7.8,4.5,13.9,20,100.9
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,1,0.449,0.35,0.487,0.757085020242915,11.5,34.8,23.7,9.5,5.5,16.8,20.2,101
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,24,0.446,0.362,0.474,0.211193241816262,9.9,29.3,19.4,8.2,4.7,13.1,19.6,94.9
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,27,0.452,0.352,0.486,0.211193241816262,11.6,33.7,21.1,7.9,4.1,15.6,20.3,103.3
1,10,0.456,0.335,0.499,0.741,9.1,30,19.8,7.8,4.5,14.8,20,94.7,15,0.463,0.368,0.499,0.751091703056769,10.1,33.4,23.4,7.7,5.4,14.5,17.9,101.4
